id,n_pixels,area_km2,centroid_y,centroid_x,mean_lst,max_lst,mean_gi_star,max_gi_star,intensity_score,extent_score,significance_score,priority_score,rank
11,2117,5.292500000000001,810.5403873405763,642.4435521965045,44.98215866088867,47.97773742675781,9.03749942779541,20.661272048950195,1.0,0.004503773431794207,0.5625621944280625,0.570119790357957,1
7,694,1.7350000000000003,431.0590778097983,141.314121037464,44.66981887817383,47.134952545166016,5.975997447967529,10.235518455505371,0.9022373250485363,0.0014649542789050855,0.24670292920799752,0.4353452950654853,2
14,143,0.3575000000000001,928.6783216783217,901.7482517482517,44.86349105834961,47.42923355102539,3.0523746013641357,4.752511978149414,0.9628569177020673,0.00028829275167957226,0.08058943135750038,0.40940608431358094,3
13,836,2.0900000000000003,925.5741626794259,70.70574162679426,44.44529342651367,46.064796447753906,5.515986919403076,9.984524726867676,0.8319606265178778,0.0017681955436347095,0.23909880793352262,0.4050443516502984,4
16,329,0.8225000000000001,962.5987841945289,14.495440729483283,44.67945098876953,46.748435974121094,4.061777114868164,6.389379978179932,0.9052521856246671,0.0006854960984380939,0.13018008388135746,0.40136054824380557,5
4,9,0.022500000000000006,326.44444444444446,52.22222222222222,44.95888900756836,45.20334243774414,2.0896968841552734,2.2271170616149902,0.9927165744497431,2.135501864293129e-06,0.004079913308984068,0.39831124442315174,6
17,231,0.5775000000000001,968.3982683982684,915.8961038961039,44.40250015258789,46.038631439208984,2.814720630645752,4.047301292419434,0.8185662875305366,0.00047621691573736745,0.05922432551421037,0.34533667774119897,7
3,156,0.39000000000000007,325.9871794871795,316.05128205128204,43.927276611328125,44.744667053222656,3.661792039871216,5.368323802947998,0.6698208277314637,0.00031605427591538285,0.09924610387055555,0.29779697853652676,8
18,21,0.05250000000000001,960.2857142857143,66.28571428571429,43.989349365234375,44.498435974121094,2.121103286743164,2.280794143676758,0.6892496638878209,2.776152423581066e-05,0.0057061174530995675,0.277420029248329,9
8,70,0.17500000000000004,690.6428571428571,340.8857142857143,42.94962692260742,44.22665023803711,2.324646234512329,2.8254196643829346,0.3638154642646486,0.00013240111558617391,0.022206125366053577,0.15222774365035138,10
9,8,0.020000000000000004,691.5,384.5,42.675636291503906,44.152645111083984,2.0357718467712402,2.0924489498138428,0.2780561134208459,0.0,0.0,0.11122244536833836,11
19,15,0.037500000000000006,1020.6,603.2666666666667,41.78728103637695,42.973995208740234,2.1027133464813232,2.240771532058716,0.0,1.4948513050051892e-05,0.004493589976350922,0.0013525615468202921,12
1,468282,1170.7050000000002,756.6333235101926,513.4103446214034,,,11.852925300598145,35.100040435791016,,1.0,1.0,,13
5,22771,56.92750000000001,458.22818497211364,913.1872557199947,,,14.192967414855957,27.397981643676758,,0.04861042893690446,0.7666579582037553,,14
2,218,0.5450000000000002,275.88990825688074,4.279816513761468,,,5.654120922088623,9.011756896972656,,0.0004484553915015568,0.20962777457114334,,15
15,130,0.32500000000000007,939.3538461538461,2.746153846153846,,,3.822279214859009,6.736060619354248,,0.00026053122744376157,0.14068314168009444,,16
20,51,0.12750000000000003,1138.9411764705883,132.7843137254902,,,2.192781448364258,2.489670991897583,,9.18265801646045e-05,0.012034263155871116,,17
